iter	Logloss
0	0.6771399438
1	0.6624734718
2	0.6489536182
3	0.636772737
4	0.6260911448
5	0.6163673231
6	0.6069687438
7	0.5988592887
8	0.5910795997
9	0.5841038339
10	0.5775771102
11	0.5716249978
12	0.5661735782
13	0.56150382
14	0.5569070059
15	0.5530403892
16	0.5491987994
17	0.5456758147
18	0.5424652786
19	0.5394850534
20	0.5368285746
21	0.5345870785
22	0.5325329105
23	0.5304468152
24	0.5285302443
25	0.5267775941
26	0.5252843054
27	0.5237506324
28	0.5225076413
29	0.5212623963
30	0.5200869572
31	0.5189387374
32	0.517946801
33	0.5169901015
34	0.5161155496
35	0.515307955
36	0.5147408549
37	0.5140823289
38	0.5134524936
39	0.5128663237
40	0.5122861543
41	0.5117263392
42	0.5112046891
43	0.5107778582
44	0.5102428162
45	0.5097601228
46	0.5093530646
47	0.5090396058
48	0.5087920336
49	0.5084506674
50	0.5081422645
51	0.5079250226
52	0.5076857508
53	0.5074676079
54	0.5072198686
55	0.5069982053
56	0.5067183579
57	0.5064854574
58	0.506286625
59	0.5061174458
60	0.5059008818
61	0.5056881521
62	0.5055317856
63	0.5053068882
64	0.5051363588
65	0.504973287
66	0.5047986638
67	0.5046548124
68	0.5044897328
69	0.5042903615
70	0.5041509535
71	0.5039493846
72	0.5038097091
73	0.5036769416
74	0.5035396931
75	0.5033697113
76	0.5031946545
77	0.5030712091
78	0.5028910609
79	0.5027419328
80	0.5026044269
81	0.502447345
82	0.5023359749
83	0.5022121426
84	0.5020718386
85	0.5019172675
86	0.5017817007
87	0.5016735155
88	0.5015655289
89	0.5014494078
90	0.5013707329
91	0.5012445104
92	0.5010965817
93	0.5009643217
94	0.5007999893
95	0.5006819058
96	0.500549205
97	0.5004250193
98	0.5002749736
99	0.5001069887
100	0.4999835275
101	0.4998730362
102	0.4997367419
103	0.4996095423
104	0.4994772134
105	0.4993752134
106	0.4992694222
107	0.4991632954
108	0.499028399
109	0.4988832075
110	0.4988111108
111	0.4986994963
112	0.4985771252
113	0.4984707089
114	0.4983061214
115	0.4981971658
116	0.4980814439
117	0.4979841956
118	0.497864695
119	0.4977728296
120	0.4976418633
121	0.497553103
122	0.4974736428
123	0.4973367415
124	0.4972151352
125	0.4971011088
126	0.4969675429
127	0.496893582
128	0.4967456175
129	0.4965844573
130	0.4964688165
131	0.4963579643
132	0.4962476408
133	0.4961186547
134	0.4960203764
135	0.495901017
136	0.4957762536
137	0.4956691935
138	0.4955476398
139	0.4954355592
140	0.4952977881
141	0.4952105523
142	0.4951332843
143	0.4950118493
144	0.494938939
145	0.4947763832
146	0.4946376372
147	0.4945488866
148	0.4944092303
149	0.4943151815
150	0.4941572636
151	0.4940224616
152	0.4939116791
153	0.4937976374
154	0.4936712342
155	0.4935506768
156	0.4934770122
157	0.4933718047
158	0.4932633125
159	0.4931240361
160	0.4930431931
161	0.4929746085
162	0.4928684167
163	0.4927665091
164	0.4926554494
165	0.4925075647
166	0.4923981842
167	0.4923150418
168	0.4922146463
169	0.4921340371
170	0.4920404998
171	0.4919479551
172	0.4918838411
173	0.4917218631
174	0.491623803
175	0.4914829648
176	0.4913488051
177	0.4912306216
178	0.4911064328
179	0.4909730678
180	0.4909180066
181	0.4907886796
182	0.4906796288
183	0.4905615662
184	0.4904415702
185	0.4903656371
186	0.4902453748
187	0.4901239207
188	0.4900207611
189	0.4898821283
190	0.489758083
191	0.4896169245
192	0.4895386414
193	0.4894142905
194	0.4893274664
195	0.4892586985
196	0.4891363269
197	0.4890571907
198	0.4888905468
199	0.4887866366
200	0.4886775571
201	0.4885486563
202	0.4884194873
203	0.4883048744
204	0.4882186014
205	0.4881106369
206	0.4880087886
207	0.4879072262
208	0.4877535479
209	0.4876310979
210	0.4875225004
211	0.4873900898
212	0.4873004145
213	0.4871787453
214	0.487087744
215	0.4869406597
216	0.4868651253
217	0.4867841946
218	0.4866927633
219	0.4866025479
220	0.4864849607
221	0.4863756714
222	0.4862744371
223	0.4861749454
224	0.486021834
225	0.4858901726
226	0.4857890538
227	0.4857177028
228	0.4856108981
229	0.4855180672
230	0.4854151338
231	0.4852619532
232	0.4851977253
233	0.4850600705
234	0.4849313968
235	0.4847826091
236	0.4846738511
237	0.48453889
238	0.484420697
239	0.4842955775
240	0.4841325086
241	0.4840058936
242	0.4839225999
243	0.4838359578
244	0.4836973677
245	0.4835742778
246	0.4834661495
247	0.4833031519
248	0.4831948077
249	0.4830336721
250	0.4829314628
251	0.4827930828
252	0.4826629695
253	0.4825507383
254	0.4824455501
255	0.4823026906
256	0.4822010306
257	0.4820522637
258	0.4819258567
259	0.4817888415
260	0.4816517567
261	0.4815779962
262	0.4814374114
263	0.4813028631
264	0.481213407
265	0.4811095506
266	0.480989092
267	0.4808433815
268	0.4807310089
269	0.48063823
270	0.4804938981
271	0.4803197142
272	0.4802029365
273	0.4800658803
274	0.4799612974
275	0.4798655844
276	0.4797315158
277	0.4796062082
278	0.4795223014
279	0.4793910101
280	0.4792603722
281	0.479145131
282	0.4790363054
283	0.4789278062
284	0.4788602185
285	0.4787434626
286	0.4786388551
287	0.4784897749
288	0.4783836437
289	0.4782789129
290	0.4781472368
291	0.4780407541
292	0.4779108454
293	0.4777966093
294	0.4777306725
295	0.4776284575
296	0.4774625971
297	0.4773492746
298	0.477195771
299	0.4770795242
300	0.4769963362
301	0.4768863934
302	0.4767374476
303	0.4766250336
304	0.4764839525
305	0.4763275509
306	0.4761824997
307	0.4760540135
308	0.4759992915
309	0.4758834578
310	0.4758344059
311	0.4757073069
312	0.4755900542
313	0.4754120939
314	0.4753083318
315	0.4752163832
316	0.4750980679
317	0.4750117116
318	0.4748939279
319	0.4748014093
320	0.4746633577
321	0.4744810791
322	0.4743346391
323	0.4742449498
324	0.4740640957
325	0.4739578432
326	0.473879919
327	0.4737161255
328	0.473583077
329	0.4734391578
330	0.4732712206
331	0.4731027687
332	0.4729790251
333	0.472890351
334	0.4727577714
335	0.472624222
336	0.4724771455
337	0.4723715334
338	0.4722554861
339	0.4721073398
340	0.4720076756
341	0.4718749302
342	0.471707039
343	0.471578605
344	0.4714732434
345	0.4713472266
346	0.4712805159
347	0.4711195988
348	0.4710086567
349	0.4708350849
350	0.470709862
351	0.4705904172
352	0.4704629686
353	0.4703379888
354	0.4702030458
355	0.4701236045
356	0.469968739
357	0.4698411516
358	0.4696868647
359	0.4695403914
360	0.4694284972
361	0.4692748484
362	0.4691272038
363	0.4689896588
364	0.4688628264
365	0.4687879548
366	0.4686757323
367	0.4685604517
368	0.468443684
369	0.4683409378
370	0.4682349388
371	0.4681205633
372	0.4679940967
373	0.4679862608
374	0.4678985308
375	0.467785107
376	0.4676833238
377	0.4675359509
378	0.4674454919
379	0.4673299757
380	0.4672668609
381	0.467109723
382	0.4671056415
383	0.4669386142
384	0.4667743339
385	0.4666479513
386	0.4665334137
387	0.4664442636
388	0.466331779
389	0.466234477
390	0.4661065609
391	0.4660093385
392	0.4658622016
393	0.4657552068
394	0.4656505572
395	0.465482196
396	0.4653307704
397	0.4651881328
398	0.4650785541
399	0.4649286243
400	0.4648224575
401	0.4646815727
402	0.4645707522
403	0.4645122024
404	0.4644010223
405	0.464239643
406	0.4640715222
407	0.4639534626
408	0.4638278067
409	0.4637193498
410	0.4635997233
411	0.4635216467
412	0.4634557125
413	0.4633576542
414	0.4632802037
415	0.4631717644
416	0.46306295
417	0.4629563012
418	0.4629045492
419	0.46279309
420	0.4626659309
421	0.4625020721
422	0.4623793156
423	0.4622724706
424	0.4621610769
425	0.4621571118
426	0.462079006
427	0.4619155943
428	0.4617745645
429	0.4616429833
430	0.4615562892
431	0.4614682375
432	0.4613752224
433	0.4612539695
434	0.4611513102
435	0.4611481533
436	0.4609999907
437	0.4608527024
438	0.4607459842
439	0.4606112871
440	0.4604903918
441	0.460330653
442	0.4602645113
443	0.4601397296
444	0.4600220497
445	0.4599711068
446	0.4598617967
447	0.4597537407
448	0.4595923592
449	0.4595027919
450	0.4594063127
451	0.4592905693
452	0.4591797619
453	0.4590374698
454	0.4589337284
455	0.4588249294
456	0.4587919199
457	0.4587292239
458	0.4585898514
459	0.4584279214
460	0.4583007722
461	0.4581897256
462	0.4581085382
463	0.4580240995
464	0.457956518
465	0.4578541142
466	0.4577358216
467	0.4576633544
468	0.4575666601
469	0.4573985857
470	0.4572789778
471	0.4571525692
472	0.4569989997
473	0.4569040247
474	0.4567374703
475	0.4566214834
476	0.4564886942
477	0.4563244261
478	0.4561861159
479	0.4560784053
480	0.4559606897
481	0.4558181965
482	0.4557087035
483	0.4556490548
484	0.4555258396
485	0.4553760406
486	0.455217481
487	0.4550985903
488	0.4549984123
489	0.4548647177
490	0.454710999
491	0.454626946
492	0.4544844078
493	0.4544123489
494	0.45433578
495	0.454213074
496	0.4540943212
497	0.4540273962
498	0.4539244506
499	0.4538689212
500	0.4537310421
501	0.4536286107
502	0.4535490697
503	0.4534398428
504	0.4532917639
505	0.4531999309
506	0.4530754501
507	0.4529771844
508	0.4529069217
509	0.4527926278
510	0.4526688061
511	0.452564479
512	0.4524722782
513	0.4523750664
514	0.4522437909
515	0.4521048359
516	0.451966265
517	0.4518496336
518	0.4517090903
519	0.4515767052
520	0.4514674022
521	0.4513618821
522	0.4512536231
523	0.4511632807
524	0.4510596777
525	0.4509542282
526	0.4508491481
527	0.4507502632
528	0.4506531982
529	0.4505371881
530	0.4503875987
531	0.4502749512
532	0.4501628335
533	0.4500554821
534	0.4499511121
535	0.4498799408
536	0.4497762238
537	0.4497417949
538	0.4496143963
539	0.449499263
540	0.4493950672
541	0.4492934987
542	0.4491501481
543	0.4490176673
544	0.4489094199
545	0.4487923762
546	0.4487319274
547	0.4485899531
548	0.4484880996
549	0.4483611633
550	0.4481965497
551	0.4480530479
552	0.4479284517
553	0.4477760097
554	0.447637109
555	0.4475143672
556	0.4473955829
557	0.4472855892
558	0.4471885632
559	0.4471238693
560	0.4470182371
561	0.4468554755
562	0.4467394612
563	0.4466334098
564	0.446538426
565	0.4464028962
566	0.4463436695
567	0.4462096691
568	0.4460766123
569	0.4459465145
570	0.4458250088
571	0.4456975804
572	0.4455795866
573	0.4454211331
574	0.4453011928
575	0.4451741266
576	0.4450770475
577	0.4449818107
578	0.4448979184
579	0.4448318873
580	0.444720979
581	0.4446387806
582	0.4445322396
583	0.4444068728
584	0.4443125491
585	0.4442028933
586	0.4440948069
587	0.4439634369
588	0.4438535699
589	0.4437079902
590	0.4436077119
591	0.4434835239
592	0.4433488477
593	0.4432466676
594	0.4431431999
595	0.4430675361
596	0.4429554256
597	0.4428364532
598	0.442761175
599	0.4426403974
600	0.4425019654
601	0.4423912839
602	0.4423130664
603	0.4422163709
604	0.4420882575
605	0.4419408114
606	0.4418271426
607	0.4417120204
608	0.4415934462
609	0.4415203289
610	0.4413742611
611	0.4412483509
612	0.4411667743
613	0.4410694282
614	0.4410020624
615	0.4408941553
616	0.4407998444
617	0.4406987638
618	0.4405739366
619	0.4404603356
620	0.4404003378
621	0.4402522684
622	0.4401298533
623	0.4400637512
624	0.4399721165
625	0.4398643275
626	0.4397428355
627	0.4396332805
628	0.4395257915
629	0.4394139794
630	0.4392813631
631	0.4391176655
632	0.4390300909
633	0.4389390399
634	0.4388797967
635	0.4387414389
636	0.4386146983
637	0.4384495204
638	0.4383650298
639	0.4382371225
640	0.4381514607
641	0.4380270531
642	0.4379058125
643	0.4377886062
644	0.4377476632
645	0.437629281
646	0.4375038501
647	0.4373864945
648	0.4372630704
649	0.4372132716
650	0.437093692
651	0.4369858791
652	0.4368519847
653	0.4366971962
654	0.4366078665
655	0.4365170239
656	0.43639412
657	0.4362821947
658	0.4361752177
659	0.4360685615
660	0.4359487763
661	0.4358289856
662	0.435712649
663	0.4355916247
664	0.4354793422
665	0.4353885871
666	0.4352977961
667	0.4351883568
668	0.4350963655
669	0.4350100632
670	0.4348948315
671	0.4348154711
672	0.4347099962
673	0.4345905236
674	0.4344744085
675	0.4343823732
676	0.4342862935
677	0.4342163781
678	0.4341119266
679	0.4340490291
680	0.4339167408
681	0.4338138282
682	0.433756099
683	0.4336784029
684	0.4335660877
685	0.4334967014
686	0.4334210482
687	0.4333554055
688	0.4332818397
689	0.4331862207
690	0.4330854191
691	0.4329431107
692	0.4328182305
693	0.4327062392
694	0.4326050365
695	0.4324524732
696	0.4323102667
697	0.4322132932
698	0.4320815991
699	0.432003545
700	0.4318816568
701	0.4317838542
702	0.4316396316
703	0.4315126976
704	0.4314253824
705	0.4313674913
706	0.4312651872
707	0.4311417337
708	0.4310316036
709	0.4309613792
710	0.4308654322
711	0.4308271311
712	0.4307126143
713	0.43063841
714	0.43056475
715	0.4304502194
716	0.4302900283
717	0.4301485458
718	0.4300069816
719	0.4298958094
720	0.4298178884
721	0.4297361182
722	0.4296196755
723	0.4295208989
724	0.4293966688
725	0.4293240488
726	0.4292170315
727	0.4291185336
728	0.4290408217
729	0.4289617089
730	0.4288300011
731	0.4287002432
732	0.4285858811
733	0.4284946983
734	0.4283956521
735	0.4283229744
736	0.428217124
737	0.4280351395
738	0.4279408821
739	0.4278545653
740	0.4277928815
741	0.4277052588
742	0.4275745359
743	0.4275017076
744	0.4273760993
745	0.427293513
746	0.4272141221
747	0.4271158168
748	0.4270409936
749	0.4269542355
750	0.426824966
751	0.4266806561
752	0.4265613709
753	0.4264228651
754	0.4263275737
755	0.4262282844
756	0.4261487827
757	0.4260236686
758	0.4259047091
759	0.4258677295
760	0.4257441146
761	0.4256348056
762	0.4255110206
763	0.4253828678
764	0.4252671372
765	0.4251807741
766	0.4250189266
767	0.4249410635
768	0.4248403818
769	0.4247541265
770	0.424643427
771	0.4245475005
772	0.424445182
773	0.4243589689
774	0.4242446232
775	0.4241469753
776	0.4240301399
777	0.4239825235
778	0.423869995
779	0.4237711005
780	0.4236666846
781	0.4235369296
782	0.423437862
783	0.4233167919
784	0.4232076014
785	0.4230985444
786	0.4229955736
787	0.4228826023
788	0.4228065954
789	0.422694404
790	0.4225768254
791	0.4224412921
792	0.4223794515
793	0.4222734732
794	0.422195796
795	0.4221064332
796	0.4219855897
797	0.4218552474
798	0.4217687363
799	0.4216793687
800	0.4215822658
801	0.4215056043
802	0.421364841
803	0.4212546294
804	0.4211675414
805	0.4210597036
806	0.4209839623
807	0.4208518493
808	0.4207451347
809	0.4206377458
810	0.4205464829
811	0.4204519056
812	0.4203664963
813	0.4202989889
814	0.4201885698
815	0.4200796696
816	0.4199617427
817	0.4198978243
818	0.4197277303
819	0.4196119886
820	0.4195299467
821	0.4194433272
822	0.4193516516
823	0.419246992
824	0.4191622273
825	0.4190715336
826	0.4189643818
827	0.4188214166
828	0.418763639
829	0.4186745634
830	0.4185684148
831	0.4184931182
832	0.4183722925
833	0.4182971992
834	0.418225207
835	0.4181553063
836	0.4180466757
837	0.4179466161
838	0.4178299452
839	0.41776342
840	0.4176838515
841	0.4175998661
842	0.4175428474
843	0.4174268413
844	0.4172937217
845	0.4171702711
846	0.4170653825
847	0.4169223963
848	0.4168254725
849	0.4167171713
850	0.4166168246
851	0.4165590074
852	0.4164044779
853	0.4163023156
854	0.4162232781
855	0.4161364953
856	0.4160590422
857	0.4159700843
858	0.4158927764
859	0.4158283012
860	0.4156954139
861	0.4156075228
862	0.4154963197
863	0.4153995577
864	0.4153181467
865	0.415182874
866	0.415123454
867	0.4150253413
868	0.4149208456
869	0.4148610004
870	0.4147691344
871	0.4146751414
872	0.4145691443
873	0.4144720043
874	0.4144027048
875	0.4142996947
876	0.4141940003
877	0.4141100457
878	0.4140265731
879	0.4139266801
880	0.4137661739
881	0.4136574027
882	0.4135735929
883	0.4134728527
884	0.413372338
885	0.4132965998
886	0.413198822
887	0.4130887901
888	0.4130079927
889	0.412891974
890	0.4127612383
891	0.4126864052
892	0.4125761281
893	0.4124554367
894	0.412350464
895	0.4122284369
896	0.4121177761
897	0.4120332718
898	0.4119083679
899	0.4118324369
900	0.4117570868
901	0.4116376715
902	0.4115604398
903	0.4115005394
904	0.4114129672
905	0.4112995154
906	0.4112856548
907	0.4111972969
908	0.411066923
909	0.4109515385
910	0.4108493637
911	0.4108051891
912	0.4106981297
913	0.4106088948
914	0.4104998063
915	0.410400973
916	0.4103299513
917	0.4102633646
918	0.4101735403
919	0.4100920205
920	0.4099726616
921	0.4099117621
922	0.4098519539
923	0.4097417682
924	0.4096347406
925	0.4095335104
926	0.4094587168
927	0.4093587522
928	0.4092115555
929	0.4090980758
930	0.4089997916
931	0.4089183553
932	0.4088365876
933	0.408746156
934	0.4086942687
935	0.4085871498
936	0.4084940548
937	0.4084327554
938	0.4083716796
939	0.4083203624
940	0.4082283024
941	0.4081629535
942	0.408073112
943	0.4079943878
944	0.4079060159
945	0.4078145782
946	0.40769823
947	0.4076098133
948	0.4074948611
949	0.4073768672
950	0.4072237019
951	0.4071549041
952	0.4070281854
953	0.4069865448
954	0.4069309755
955	0.4067963396
956	0.4067123178
957	0.4066665808
958	0.4065714619
959	0.4064903267
960	0.4064144681
961	0.4063060876
962	0.4061695971
963	0.4060532073
964	0.4059738281
965	0.4059173878
966	0.4058519612
967	0.4057785639
968	0.4056988426
969	0.4056170337
970	0.4054815722
971	0.4054369074
972	0.4053431658
973	0.4052520385
974	0.4051349717
975	0.4050292699
976	0.4049559284
977	0.4048811335
978	0.404752126
979	0.4046727379
980	0.4045720371
981	0.4045238976
982	0.4044232968
983	0.4043015108
984	0.4041919987
985	0.4040771035
986	0.4039963964
987	0.4039259395
988	0.40384658
989	0.4037797444
990	0.40368622
991	0.4036143142
992	0.4035243691
