iter	Passed	Remaining
0	9	9912
1	20	10045
2	32	10726
3	43	10819
4	52	10471
5	62	10284
6	72	10278
7	81	10147
8	93	10311
9	105	10417
10	118	10628
11	127	10509
12	148	11241
13	177	12517
14	185	12204
15	200	12300
16	214	12414
17	223	12182
18	228	11797
19	233	11457
20	238	11132
21	243	10837
22	248	10564
23	253	10310
24	258	10086
25	263	9866
26	268	9677
27	273	9494
28	279	9342
29	283	9163
30	288	9015
31	293	8884
32	298	8741
33	303	8613
34	308	8510
35	313	8401
36	316	8246
37	322	8153
38	327	8069
39	332	7979
40	338	7906
41	343	7824
42	348	7750
43	352	7668
44	358	7607
45	363	7541
46	368	7476
47	373	7407
48	378	7344
49	383	7283
50	388	7227
51	393	7169
52	398	7122
53	403	7072
54	408	7027
55	414	6981
56	419	6935
57	423	6884
58	429	6842
59	434	6799
60	438	6757
61	443	6707
62	448	6666
63	453	6625
64	458	6588
65	463	6552
66	467	6511
67	473	6483
68	477	6444
69	482	6410
70	487	6380
71	492	6344
72	496	6307
73	501	6273
74	505	6235
75	510	6200
76	515	6174
77	519	6140
78	524	6110
79	528	6078
80	534	6061
81	539	6034
82	543	6009
83	548	5981
84	552	5951
85	557	5927
86	562	5904
87	567	5882
88	572	5856
89	576	5833
90	581	5805
91	585	5781
92	590	5762
93	595	5739
94	600	5723
95	606	5706
96	611	5692
97	616	5674
98	620	5650
99	625	5631
100	630	5615
101	636	5601
102	641	5586
103	646	5569
104	652	5559
105	657	5544
106	661	5523
107	666	5506
108	671	5486
109	675	5469
110	680	5453
111	686	5439
112	690	5420
113	695	5406
114	700	5391
115	705	5376
116	711	5366
117	715	5349
118	720	5332
119	724	5313
120	729	5301
121	734	5287
122	739	5274
123	744	5256
124	749	5243
125	754	5230
126	758	5216
127	763	5200
128	768	5186
129	772	5172
130	777	5157
131	782	5148
132	787	5136
133	792	5121
134	797	5107
135	802	5097
136	806	5082
137	811	5070
138	816	5058
139	821	5044
140	826	5033
141	831	5022
142	835	5009
143	840	4995
144	844	4982
145	849	4971
146	854	4957
147	859	4945
148	863	4933
149	868	4922
150	873	4911
151	878	4901
152	883	4890
153	888	4882
154	893	4872
155	898	4859
156	903	4849
157	908	4839
158	912	4826
159	917	4817
160	922	4807
161	927	4795
162	931	4784
163	936	4775
164	941	4765
165	946	4755
166	952	4748
167	957	4742
168	962	4734
169	967	4724
170	972	4714
171	977	4707
172	982	4696
173	987	4688
174	992	4678
175	997	4670
176	1001	4658
177	1006	4649
178	1011	4639
179	1016	4630
180	1020	4619
181	1025	4611
182	1030	4602
183	1035	4592
184	1040	4584
185	1045	4576
186	1050	4568
187	1055	4559
188	1060	4549
189	1065	4540
190	1069	4531
191	1075	4524
192	1079	4514
193	1084	4505
194	1089	4496
195	1093	4486
196	1098	4476
197	1103	4467
198	1108	4459
199	1112	4451
200	1117	4441
201	1121	4432
202	1127	4424
203	1131	4416
204	1136	4407
205	1141	4398
206	1145	4389
207	1150	4380
208	1154	4370
209	1159	4362
210	1164	4354
211	1169	4345
212	1173	4337
213	1177	4326
214	1182	4317
215	1187	4310
216	1192	4303
217	1197	4296
218	1202	4286
219	1206	4277
220	1211	4270
221	1216	4261
222	1220	4251
223	1225	4244
224	1230	4238
225	1235	4230
226	1239	4221
227	1244	4213
228	1249	4206
229	1254	4200
230	1259	4194
231	1264	4186
232	1269	4177
233	1273	4170
234	1278	4161
235	1283	4154
236	1287	4146
237	1292	4139
238	1297	4130
239	1301	4121
240	1306	4113
241	1311	4106
242	1315	4099
243	1320	4091
244	1326	4086
245	1331	4079
246	1335	4071
247	1340	4063
248	1344	4055
249	1349	4048
250	1354	4042
251	1359	4036
252	1364	4029
253	1369	4022
254	1373	4013
255	1378	4006
256	1383	3999
257	1388	3993
258	1393	3987
259	1398	3980
260	1403	3973
261	1408	3966
262	1412	3958
263	1416	3949
264	1421	3943
265	1426	3935
266	1430	3928
267	1435	3920
268	1440	3915
269	1445	3908
270	1450	3903
271	1456	3899
272	1461	3892
273	1466	3885
274	1471	3878
275	1476	3871
276	1480	3864
277	1485	3857
278	1490	3851
279	1495	3845
280	1499	3837
281	1504	3830
282	1509	3823
283	1513	3816
284	1518	3808
285	1522	3800
286	1527	3794
287	1531	3787
288	1537	3781
289	1541	3773
290	1546	3767
291	1551	3761
292	1556	3755
293	1561	3749
294	1566	3742
295	1570	3735
296	1575	3728
297	1579	3721
298	1584	3714
299	1589	3708
300	1593	3700
301	1598	3693
302	1602	3687
303	1607	3681
304	1612	3674
305	1616	3667
306	1622	3661
307	1627	3655
308	1631	3649
309	1636	3642
310	1641	3635
311	1646	3629
312	1651	3623
313	1655	3617
314	1660	3611
315	1665	3604
316	1670	3598
317	1674	3591
318	1678	3583
319	1683	3578
320	1688	3572
321	1693	3564
322	1697	3558
323	1702	3551
324	1707	3546
325	1712	3539
326	1716	3533
327	1721	3527
328	1726	3520
329	1731	3515
330	1736	3510
331	1741	3504
332	1746	3497
333	1750	3491
334	1756	3485
335	1760	3479
336	1765	3473
337	1770	3468
338	1775	3462
339	1781	3458
340	1786	3451
341	1791	3446
342	1795	3440
343	1800	3433
344	1805	3428
345	1810	3422
346	1815	3416
347	1821	3411
348	1826	3406
349	1830	3399
350	1835	3394
351	1840	3388
352	1845	3382
353	1850	3376
354	1855	3371
355	1859	3364
356	1864	3358
357	1869	3351
358	1874	3346
359	1880	3342
360	1885	3336
361	1889	3330
362	1895	3326
363	1899	3319
364	1904	3313
365	1909	3307
366	1914	3301
367	1918	3295
368	1923	3289
369	1927	3282
370	1932	3276
371	1937	3270
372	1942	3265
373	1946	3258
374	1951	3251
375	1956	3246
376	1961	3240
377	1966	3235
378	1970	3229
379	1976	3224
380	1980	3218
381	1985	3212
382	1989	3205
383	1995	3200
384	2000	3196
385	2006	3191
386	2010	3185
387	2015	3179
388	2021	3175
389	2026	3169
390	2031	3164
391	2036	3158
392	2042	3154
393	2047	3148
394	2051	3142
395	2057	3138
396	2062	3132
397	2067	3126
398	2071	3120
399	2077	3115
400	2082	3110
401	2087	3105
402	2092	3099
403	2096	3092
404	2101	3087
405	2106	3082
406	2111	3076
407	2116	3071
408	2121	3065
409	2126	3059
410	2131	3054
411	2135	3048
412	2140	3042
413	2145	3036
414	2150	3031
415	2155	3026
416	2160	3020
417	2165	3014
418	2170	3009
419	2175	3004
420	2180	2998
421	2184	2992
422	2189	2986
423	2194	2980
424	2199	2975
425	2203	2969
426	2208	2963
427	2213	2958
428	2218	2953
429	2223	2947
430	2228	2942
431	2233	2937
432	2238	2931
433	2243	2926
434	2248	2920
435	2253	2914
436	2258	2909
437	2263	2903
438	2267	2898
439	2272	2892
440	2277	2886
441	2281	2880
442	2285	2874
443	2290	2868
444	2295	2862
445	2299	2856
446	2304	2850
447	2309	2845
448	2314	2840
449	2319	2835
450	2324	2829
451	2329	2824
452	2334	2818
453	2339	2813
454	2344	2807
455	2349	2802
456	2353	2796
457	2357	2790
458	2362	2784
459	2367	2779
460	2372	2773
461	2377	2768
462	2382	2762
463	2387	2757
464	2391	2751
465	2396	2746
466	2401	2740
467	2406	2735
468	2411	2730
469	2416	2725
470	2421	2719
471	2425	2713
472	2430	2707
473	2434	2701
474	2439	2696
475	2444	2690
476	2448	2685
477	2454	2680
478	2459	2674
479	2463	2669
480	2468	2663
481	2473	2658
482	2478	2653
483	2483	2647
484	2487	2641
485	2492	2635
486	2497	2630
487	2502	2625
488	2507	2619
489	2511	2614
490	2516	2608
491	2520	2602
492	2525	2597
493	2529	2591
494	2534	2585
495	2538	2579
496	2543	2573
497	2548	2568
498	2552	2563
499	2557	2557
500	2562	2552
501	2568	2547
502	2572	2542
503	2577	2536
504	2582	2531
505	2587	2526
506	2592	2521
507	2597	2515
508	2602	2510
509	2606	2504
510	2611	2499
511	2616	2494
512	2621	2488
513	2626	2483
514	2630	2477
515	2635	2472
516	2640	2467
517	2645	2461
518	2650	2456
519	2655	2451
520	2660	2445
521	2664	2440
522	2669	2434
523	2674	2429
524	2678	2423
525	2682	2417
526	2687	2411
527	2691	2406
528	2696	2401
529	2701	2395
530	2706	2390
531	2711	2385
532	2716	2379
533	2721	2374
534	2725	2369
535	2730	2364
536	2735	2358
537	2740	2353
538	2745	2347
539	2749	2342
540	2754	2337
541	2758	2331
542	2763	2325
543	2768	2320
544	2773	2315
545	2778	2310
546	2783	2304
547	2788	2299
548	2792	2294
549	2797	2288
550	2802	2283
551	2806	2277
552	2810	2272
553	2815	2266
554	2821	2261
555	2825	2256
556	2830	2250
557	2834	2245
558	2839	2240
559	2844	2234
560	2848	2229
561	2853	2223
562	2858	2218
563	2863	2213
564	2868	2208
565	2873	2203
